"X231_hop_R_01.c3d.11","X238_hop_R_01.c3d.11","X250_hop_R_01.c3d.11","X253_hop_R_01.c3d.11","X263_Hop_L_01.c3d.11","X278_hop_R_01.c3d.11","X281_hop_R_01.c3d.11","X283_Hop_L_01.c3d.11","X285_Hop_R_01.c3d.11","X286_hop_L_01.c3d.11","X300_hop_R_01.c3d.11","X302_hop_L_01.c3d.11","X305_hop_R_01.c3d.11","X306_hop_L_01.c3d.11","X309_hop_L_01.c3d.11","X310_hop_R_01.c3d.11","X312_hop_R_01.c3d.11","X318_hop_R_01.c3d.11","X321_hop_R_01.c3d.11","X326_hop_L_01.c3d.11","X328_hop_R_01.c3d.11","X337_hop_R_01.c3d.11","X340_hop_L_01.c3d.11","X341_hop_R_01.c3d.11","X342_hop_L_01.c3d.11","X343_Hop_L_01.c3d.11","X346_Hop_R_01.c3d.11","X354_hop_R_01.c3d.11","X361_hop_R_01.c3d.11","X368_hop_R_01.c3d.11","X399_hop_R_01.c3d.11","X402_hop_R_01.c3d.11"
41.401218,30.279669,28.947433,37.046082,64.428925,45.511509,26.699184,47.008263,68.952385,46.98542,41.642715,37.344719,35.38686,52.955147,25.854408,43.186039,37.66835,32.463661,16.024033,40.496387,19.674461,6.056142,26.022842,7.965934,51.536388,58.320969,36.748234,58.841351,41.392914,66.950195,17.422615,40.337738
42.154255,31.074028,29.916059,37.199451,63.933254,44.951813,26.621567,47.104427,68.915916,47.020447,41.845608,33.730782,35.539074,53.242867,25.606699,40.61623,37.443489,32.966896,15.991474,40.714344,19.818911,6.073404,26.112986,8.01161,51.76133,58.727371,36.725639,59.186302,39.81255,67.685127,18.449635,40.358192
42.906773,31.890305,30.950487,37.344448,63.390858,44.347942,26.572783,47.146347,68.560051,47.072327,42.050152,30.306698,35.694851,53.589993,25.348988,37.940845,37.300312,33.503342,15.995212,40.839344,19.969687,6.103329,26.198393,8.061377,51.971718,59.140305,36.713665,59.537567,38.147171,68.393539,19.374386,40.424004
43.650421,32.733692,32.026703,37.494541,62.805981,43.697296,26.544851,47.150936,67.915268,47.142307,42.255722,27.39327,35.855072,53.990963,25.073053,35.228058,37.249958,34.076145,16.032965,40.891682,20.124018,6.143851,26.281506,8.115151,52.166996,59.559128,36.739822,59.895683,36.438595,69.071236,20.14113,40.541683
44.379574,33.605621,33.115105,37.660126,62.185211,42.996048,26.531126,47.123322,67.104355,47.230534,42.4613,25.297913,36.020088,54.435188,24.778933,32.564213,37.301411,34.68869,16.099512,40.904648,20.278843,6.189274,26.365347,8.172369,52.346752,59.981041,36.826443,60.256901,34.73893,69.714462,20.716021,40.715992
45.093384,34.502506,34.188957,37.847099,61.53735,42.239128,26.529104,47.057163,66.241348,47.336567,42.665424,24.264376,36.190292,54.919025,24.473112,30.052433,37.46088,35.344421,16.189272,40.918148,20.433924,6.231961,26.44989,8.232665,52.510685,60.400658,36.983772,60.616394,33.107372,70.319878,21.092609,40.9496
45.796448,35.415916,35.228188,38.056606,60.869991,41.420315,26.540285,46.943035,65.378906,47.460068,42.86668,24.459583,36.366436,55.452728,24.162613,27.808813,37.731339,36.046238,16.297537,40.965229,20.591646,6.266262,26.530375,8.296178,52.658611,60.810375,37.21067,60.97068,31.607059,70.883942,21.298546,41.24308
46.497585,36.335453,36.218338,38.284874,60.185871,40.532494,26.566406,46.777325,64.508041,47.601032,43.064297,25.986486,36.549297,56.059284,23.851667,25.955711,38.112549,36.795799,16.420898,41.059254,20.756618,6.290666,26.598778,8.362731,52.790417,61.201958,37.496098,61.318588,30.3022,71.402313,21.394318,41.595112
47.206711,37.255306,37.15118,38.523609,59.48177,39.568348,26.605469,46.565475,63.572418,47.75951,43.258152,28.885433,36.738834,56.767357,23.542448,24.611364,38.602077,37.593014,16.559917,41.190483,20.936701,6.307216,26.648066,8.430811,52.906025,61.568542,37.821251,61.660839,29.255369,71.870033,21.458553,42.002846
47.930992,38.179188,38.027969,38.762337,58.749313,38.521812,26.651125,46.319252,62.480572,47.935078,43.448311,33.094795,36.933216,57.602551,23.239981,23.876099,39.196785,38.435841,16.720594,41.334339,21.143999,6.31902,26.677002,8.497907,53.005398,61.905518,38.167519,61.99852,28.524832,72.282173,21.566217,42.462738
48.672298,39.114582,38.858887,38.992397,57.97583,37.39019,26.695971,46.051609,61.118309,48.126328,43.63448,38.37804,37.128151,58.57909,22.954069,23.817335,39.893585,39.320457,16.91184,41.465565,21.39282,6.327135,26.691637,8.562112,53.088486,62.210194,38.525249,62.331177,28.162279,72.634468,21.767429,42.971779
49.427094,40.061104,39.660019,39.209915,57.144451,36.176044,26.739265,45.772488,59.368938,48.330521,43.815952,44.250576,37.316704,59.689442,22.693777,24.457008,40.688965,40.241695,17.141483,41.568699,21.693417,6.33005,26.700994,8.623419,53.155258,62.481525,38.889744,62.655621,28.211187,72.923462,22.081421,43.528515
50.188259,41.006611,40.449177,39.415459,56.233234,34.888248,26.795818,45.485279,57.140499,48.543224,43.992386,49.96468,37.489536,60.895836,22.460358,25.764624,41.577843,41.193676,17.411446,41.640003,22.048615,6.326329,26.710167,8.683667,53.205696,62.720192,39.25602,62.966141,28.705051,73.146439,22.509521,44.133179
50.947445,41.934494,41.241184,39.611057,55.213966,33.542179,26.893848,45.182182,54.382374,48.758072,44.165176,54.616386,37.635925,62.138927,22.241785,27.657112,42.552685,42.170647,17.710148,41.681065,22.455677,6.316579,26.717031,8.745707,53.239807,62.928539,39.618557,63.256233,29.663673,73.301445,23.055473,44.787071
51.697109,42.834282,42.045353,39.797173,54.052475,32.15942,27.053175,44.838524,51.076878,48.966885,44.338146,57.362465,37.745941,63.35976,22.014305,30.00445,43.603359,43.167789,18.009247,41.691208,22.909685,6.303214,26.715536,8.812433,53.25766,63.110107,39.96735,63.521091,31.086063,73.387321,23.734478,45.491596
