"X004_hop_L_01.c3d.11","X008_hop_R_01.c3d.11","X009_Hop_L_01.c3d.11","X012_hop_L_01.c3d.11","X015_Hop_R_01.c3d.11","X016_Hop_R_01.c3d.11","X017_hop_L_01.c3d.11","X018_hop_R_01.c3d.11","X019_hop_L_01.c3d.11","X021_Hop_L_01.c3d.11","X027_hop_R_01.c3d.11","X028_Hop_L_01.c3d.11","X033_hop_R_01.c3d.11","X035_Hop_R_01.c3d.11","X036_Hop_L_01.c3d.11","X037_hop_R_01.c3d.11","X049_hop_R_01.c3d.11","X052_Hop_R_01.c3d.11","X053_hop_L_01.c3d.11","X068_hop_R_01.c3d.11","X070_hop_R_01.c3d.11","X073_hop_R_01.c3d.11","X075_hop_L_01.c3d.11","X080_hop_L_01.c3d.11","X086_Hop_R_01.c3d.11","X092_hop_R_01.c3d.11","X100_hop_R_01.c3d.11","X103_hop_R_01.c3d.11","X111_hop_L_01.c3d.11","X118_hop_R_01.c3d.11","X119_hop_R_01.c3d.11","X128_hop_R_01.c3d.11","X130_Hop_L_01.c3d.11","X149_hop_R_01.c3d.11","X155_hop_R_01.c3d.11","X329_hop_L_01.c3d.11"
NA,40.433075,NA,NA,26.655916,18.394342,53.186001,17.508837,35.536304,31.360598,NA,NA,NA,54.025173,NA,70.771301,NA,NA,NA,NA,NA,23.022194,44.806034,34.873497,NA,9.525331,NA,35.962769,15.386807,23.60465,31.857944,9.869027,35.02877,29.550919,11.943651,44.485435
NA,40.169506,NA,NA,26.559401,18.311951,53.30909,17.090275,35.551617,31.727728,NA,NA,NA,54.214718,NA,70.815613,NA,NA,NA,NA,NA,23.015574,45.574146,34.930237,NA,9.538784,NA,35.573612,15.29252,23.401779,31.57151,9.957967,34.918514,29.545336,11.882352,44.799664
NA,39.91671,NA,NA,26.463081,18.234159,53.425564,16.710981,35.57428,32.07563,NA,NA,NA,54.374504,NA,70.859283,NA,NA,NA,NA,NA,23.003817,46.313274,34.982002,NA,9.560962,NA,35.165485,15.204362,23.191008,31.265913,10.057642,34.818584,29.540651,11.81259,45.166164
NA,39.673702,NA,NA,26.367001,18.161104,53.535942,16.371828,35.604042,32.395973,NA,NA,NA,54.504105,NA,70.90239,NA,NA,NA,NA,NA,22.98666,47.016548,35.021286,NA,9.591656,NA,34.743015,15.125283,22.975574,30.948154,10.167418,34.736526,29.536604,11.735806,45.577728
NA,39.439522,NA,NA,26.271105,18.092766,53.64019,16.072689,35.640625,32.680889,NA,NA,NA,54.603142,NA,70.945015,NA,NA,NA,NA,NA,22.964069,47.678898,35.040459,NA,9.630481,NA,34.310192,15.058785,22.758474,30.624748,10.286596,34.678387,29.532919,11.65387,46.025509
NA,39.213203,NA,NA,26.175247,18.028978,53.737846,15.812898,35.683788,32.923367,NA,NA,NA,54.671425,NA,70.987213,NA,NA,NA,NA,NA,22.936209,48.296982,35.032478,NA,9.676867,NA,33.870304,15.008747,22.542465,30.301535,10.414425,34.648361,29.529305,11.56898,46.499092
NA,38.993748,NA,NA,26.079206,17.969446,53.828228,15.591696,35.733368,33.117573,NA,NA,NA,54.709061,NA,71.029022,NA,NA,NA,NA,NA,22.903404,48.868954,34.991459,NA,9.730073,NA,33.425945,14.979199,22.330048,29.983522,10.550113,34.648624,29.525475,11.483564,46.986675
NA,38.780067,NA,NA,25.982697,17.913786,53.910572,15.408582,35.789341,33.259102,NA,NA,NA,54.716557,NA,71.070381,NA,NA,NA,NA,NA,22.866093,49.394123,34.913124,NA,9.789195,NA,32.979057,14.974076,22.123423,29.674757,10.692864,34.679344,29.521149,11.400153,47.475311
NA,38.571011,NA,NA,25.885393,17.861553,53.98423,15.263479,35.851849,33.345184,NA,NA,NA,54.694847,NA,71.11116,NA,NA,NA,NA,NA,22.824799,49.87257,34.795082,NA,9.853196,NA,32.531048,14.996953,21.924431,29.378239,10.841916,34.738926,29.516056,11.321256,47.95126
NA,38.365364,NA,NA,25.786955,17.812286,54.048756,15.156704,35.9212,33.374813,NA,NA,NA,54.645317,NA,71.151123,NA,NA,NA,NA,NA,22.780087,50.304852,34.636913,NA,9.920938,NA,32.082909,15.050781,21.734486,29.095884,10.996594,34.824406,29.509951,11.249229,48.400429
